time,readable_time,acceleration,acceleration_x,acceleration_y,acceleration_z,battery,humidity,pressure,temperature,dev-id
1523491219219,2018-04-12T00:00:19.219000Z,1007.2139792516782,-76,320,952,2989,24,1027.44,27.07,C2:9A:9F:E5:58:27
1523491224709,2018-04-12T00:00:24.709000Z,1011.9762843070978,-72,324,956,2983,24,1027.47,27.07,C2:9A:9F:E5:58:27
1523491229993,2018-04-12T00:00:29.993000Z,1023.9140588936164,-80,324,968,2977,24,1027.57,27.07,C2:9A:9F:E5:58:27
1523491235573,2018-04-12T00:00:35.572999Z,1027.1046684734715,-72,324,972,2977,24,1027.48,27.06,C2:9A:9F:E5:58:27
1523491240703,2018-04-12T00:00:40.703000Z,1017.6207545053314,-80,316,964,2989,24,1027.51,27.06,C2:9A:9F:E5:58:27
1523491245713,2018-04-12T00:00:45.713000Z,1013.5561158613765,-76,328,956,2989,24,1027.44,27.07,C2:9A:9F:E5:58:27
1523491251203,2018-04-12T00:00:51.203000Z,1020.8153603860004,-72,328,964,2983,24,1027.42,27.06,C2:9A:9F:E5:58:27
1523491256733,2018-04-12T00:00:56.733000Z,1014.2110234068648,-68,320,960,2989,24,1027.45,27.06,C2:9A:9F:E5:58:27
1523491261803,2018-04-12T00:01:01.802999Z,1019.5371498871436,-72,324,964,2995,24,1027.46,27.07,C2:9A:9F:E5:58:27
1523491266858,2018-04-12T00:01:06.858000Z,1010.0930650192585,-80,328,952,2995,24,1027.56,27.08,C2:9A:9F:E5:58:27
1523491272393,2018-04-12T00:01:12.392999Z,1017.0388389830548,-72,328,960,2989,24,1027.42,27.06,C2:9A:9F:E5:58:27
1523491277713,2018-04-12T00:01:17.713000Z,1016.0472429961119,-76,324,960,2989,24,1027.43,27.07,C2:9A:9F:E5:58:27
1523491283503,2018-04-12T00:01:23.503000Z,1019.5371498871436,-72,324,964,2989,24,1027.42,27.06,C2:9A:9F:E5:58:27
1523491289063,2018-04-12T00:01:29.062999Z,1018.563694621009,-76,320,964,2977,24,1027.5,27.06,C2:9A:9F:E5:58:27
1523491294623,2018-04-12T00:01:34.622999Z,1017.9430239458395,-84,316,964,2989,24,1027.47,27.07,C2:9A:9F:E5:58:27
1523491299733,2018-04-12T00:01:39.733000Z,1016.0472429961119,-76,324,960,2977,24,1027.46,27.07,C2:9A:9F:E5:58:27
1523491304713,2018-04-12T00:01:44.713000Z,1016.0472429961119,-76,324,960,2977,24,1027.55,27.07,C2:9A:9F:E5:58:27
1523491310253,2018-04-12T00:01:50.253000Z,1011.9762843070978,-72,324,956,2995,24,1027.45,27.06,C2:9A:9F:E5:58:27
1523491315693,2018-04-12T00:01:55.693000Z,1017.3141107838817,-76,316,964,2989,24,1027.47,27.06,C2:9A:9F:E5:58:27
1523491321353,2018-04-12T00:02:01.352999Z,1020.8153603860004,-72,328,964,2989,24,1027.48,27.08,C2:9A:9F:E5:58:27
1523491326713,2018-04-12T00:02:06.713000Z,1019.8274363832344,-76,324,964,2983,24,1027.48,27.06,C2:9A:9F:E5:58:27
1523491332493,2018-04-12T00:02:12.493000Z,1019.5371498871436,-72,324,964,2989,24,1027.5,27.07,C2:9A:9F:E5:58:27
1523491337713,2018-04-12T00:02:17.713000Z,1022.0606635616107,-72,320,968,2983,24,1027.51,27.07,C2:9A:9F:E5:58:27
1523491342713,2018-04-12T00:02:22.713000Z,1018.8699622621132,-80,320,964,2989,24,1027.45,27.06,C2:9A:9F:E5:58:27
1523491347703,2018-04-12T00:02:27.703000Z,1017.3141107838817,-76,316,964,2995,24,1027.47,27.07,C2:9A:9F:E5:58:27
1523491352723,2018-04-12T00:02:32.723000Z,1016.0472429961119,-76,324,960,2983,24,1027.5,27.08,C2:9A:9F:E5:58:27
1523491357763,2018-04-12T00:02:37.763000Z,1010.4256528810024,-68,320,956,2989,24,1027.47,27.06,C2:9A:9F:E5:58:27
1523491362833,2018-04-12T00:02:42.832999Z,1026.8320213160475,-68,324,972,2989,24,1027.47,27.06,C2:9A:9F:E5:58:27
1523491368373,2018-04-12T00:02:48.372999Z,1016.0472429961119,-76,324,960,2977,24,1027.52,27.07,C2:9A:9F:E5:58:27
1523491373703,2018-04-12T00:02:53.703000Z,1020.1333246198753,-80,324,964,2977,24,1027.44,27.07,C2:9A:9F:E5:58:27
1523491378973,2018-04-12T00:02:58.973000Z,1011.9762843070978,-72,324,956,2995,24,1027.47,27.07,C2:9A:9F:E5:58:27
1523491384493,2018-04-12T00:03:04.493000Z,1015.0862032359616,-80,320,960,2983,24,1027.45,27.06,C2:9A:9F:E5:58:27
1523491389703,2018-04-12T00:03:09.703000Z,1018.563694621009,-76,320,964,2983,24,1027.49,27.07,C2:9A:9F:E5:58:27
1523491394713,2018-04-12T00:03:14.713000Z,1012.576910659136,-80,324,956,2977,24,1027.41,27.07,C2:9A:9F:E5:58:27
1523491399709,2018-04-12T00:03:19.709000Z,1010.0455435276174,-80,316,956,2995,24,1027.5,27.07,C2:9A:9F:E5:58:27
1523491405243,2018-04-12T00:03:25.243000Z,1017.3298383513579,-76,328,960,2995,24,1027.5,27.08,C2:9A:9F:E5:58:27
1523491410751,2018-04-12T00:03:30.750999Z,1015.7558761828552,-72,324,960,2995,24,1027.48,27.06,C2:9A:9F:E5:58:27
