time,readable_time,acceleration,acceleration_x,acceleration_y,acceleration_z,battery,humidity,pressure,temperature,dev-id
1523404819833,2018-04-11T00:00:19.832999Z,1012.2687390214122,-76,324,956,2989,33,1027.47,26.56,C2:9A:9F:E5:58:27
1523404825123,2018-04-11T00:00:25.122999Z,1016.0472429961119,-76,324,960,2995,33,1027.5,26.56,C2:9A:9F:E5:58:27
1523404830413,2018-04-11T00:00:30.413000Z,1009.1659922926456,-68,316,956,2995,33,1027.46,26.56,C2:9A:9F:E5:58:27
1523404835989,2018-04-11T00:00:35.989000Z,1015.0862032359616,-80,320,960,2995,33,1027.53,26.58,C2:9A:9F:E5:58:27
1523404841123,2018-04-11T00:00:41.122999Z,1012.2687390214122,-76,324,956,2989,33,1027.46,26.56,C2:9A:9F:E5:58:27
1523404846133,2018-04-11T00:00:46.132999Z,1018.273047860936,-72,320,964,2989,33,1027.43,26.57,C2:9A:9F:E5:58:27
1523404851153,2018-04-11T00:00:51.153000Z,1019.5371498871436,-72,324,964,2983,33,1027.52,26.56,C2:9A:9F:E5:58:27
1523404856173,2018-04-11T00:00:56.173000Z,1021.4107890559998,-80,328,964,2989,33,1027.49,26.56,C2:9A:9F:E5:58:27
1523404861733,2018-04-11T00:01:01.733000Z,1017.0388389830548,-72,328,960,2983,33,1027.56,26.57,C2:9A:9F:E5:58:27
1523404867293,2018-04-11T00:01:07.292999Z,1022.0606635616107,-72,320,968,2983,33,1027.49,26.56,C2:9A:9F:E5:58:27
1523404872833,2018-04-11T00:01:12.832999Z,1020.8153603860004,-72,316,968,3001,33,1027.53,26.56,C2:9A:9F:E5:58:27
1523404878373,2018-04-11T00:01:18.372999Z,1019.2624784617552,-68,324,964,2989,33,1027.55,26.57,C2:9A:9F:E5:58:27
1523404884103,2018-04-11T00:01:24.102999Z,1014.4870625099169,-72,320,960,2989,33,1027.42,26.56,C2:9A:9F:E5:58:27
1523404889473,2018-04-11T00:01:29.473000Z,1018.273047860936,-72,320,964,2989,33,1027.51,26.57,C2:9A:9F:E5:58:27
1523404895023,2018-04-11T00:01:35.023000Z,1018.0609019110792,-68,332,960,2989,33,1027.5,26.56,C2:9A:9F:E5:58:27
1523404901103,2018-04-11T00:01:41.102999Z,1023.6093004657588,-76,324,968,3001,33,1027.53,26.58,C2:9A:9F:E5:58:27
1523404906123,2018-04-11T00:01:46.122999Z,1012.2687390214122,-76,324,956,2989,33,1027.51,26.58,C2:9A:9F:E5:58:27
1523404911223,2018-04-11T00:01:51.223000Z,1014.2110234068648,-68,320,960,2989,33,1027.49,26.57,C2:9A:9F:E5:58:27
1523404916233,2018-04-11T00:01:56.233000Z,1021.4107890559998,-80,316,968,2995,33,1027.55,26.58,C2:9A:9F:E5:58:27
1523404921783,2018-04-11T00:02:01.782999Z,1016.0472429961119,-76,324,960,2995,33,1027.55,26.57,C2:9A:9F:E5:58:27
1523404927853,2018-04-11T00:02:07.852999Z,1017.998035361562,-68,320,964,2995,33,1027.5,26.58,C2:9A:9F:E5:58:27
1523404933143,2018-04-11T00:02:13.142999Z,1019.8274363832344,-76,324,964,2983,33,1027.44,26.57,C2:9A:9F:E5:58:27
1523404938983,2018-04-11T00:02:18.983000Z,1019.8274363832344,-76,324,964,2995,33,1027.49,26.59,C2:9A:9F:E5:58:27
1523404944113,2018-04-11T00:02:24.112999Z,1018.563694621009,-76,320,964,2989,33,1027.46,26.57,C2:9A:9F:E5:58:27
1523404949103,2018-04-11T00:02:29.102999Z,1015.7558761828552,-72,324,960,2995,33,1027.52,26.57,C2:9A:9F:E5:58:27
1523404954140,2018-04-11T00:02:34.140000Z,1019.8274363832344,-76,324,964,2995,33,1027.5,26.58,C2:9A:9F:E5:58:27
1523404959178,2018-04-11T00:02:39.177999Z,1009.2135552002857,-68,328,952,3001,33,1027.44,26.57,C2:9A:9F:E5:58:27
1523404964219,2018-04-11T00:02:44.219000Z,1016.6769398388064,-84,324,960,2989,33,1027.49,26.57,C2:9A:9F:E5:58:27
1523404969263,2018-04-11T00:02:49.263000Z,1019.5371498871436,-72,324,964,2995,33,1027.51,26.58,C2:9A:9F:E5:58:27
1523404974819,2018-04-11T00:02:54.819000Z,1016.0472429961119,-76,324,960,2989,33,1027.49,26.57,C2:9A:9F:E5:58:27
1523404980113,2018-04-11T00:03:00.112999Z,1018.563694621009,-76,320,964,2977,33,1027.55,26.57,C2:9A:9F:E5:58:27
1523404985923,2018-04-11T00:03:05.923000Z,1019.5371498871436,-72,324,964,2995,33,1027.52,26.57,C2:9A:9F:E5:58:27
1523404991118,2018-04-11T00:03:11.118000Z,1018.563694621009,-76,320,964,2995,33,1027.6,26.57,C2:9A:9F:E5:58:27
1523404997023,2018-04-11T00:03:17.023000Z,1014.4870625099169,-72,320,960,2989,33,1027.52,26.56,C2:9A:9F:E5:58:27
1523405002153,2018-04-11T00:03:22.153000Z,1017.6364773336302,-80,328,960,2989,33,1027.54,26.57,C2:9A:9F:E5:58:27
1523405007633,2018-04-11T00:03:27.632999Z,1016.3542689436592,-80,324,960,2995,33,1027.55,26.56,C2:9A:9F:E5:58:27
1523405013139,2018-04-11T00:03:33.138999Z,1022.3502335305647,-76,320,968,2995,33,1027.5,26.55,C2:9A:9F:E5:58:27
1523405018193,2018-04-11T00:03:38.193000Z,1024.8824322818691,-76,328,968,2995,33,1027.55,26.56,C2:9A:9F:E5:58:27
1523405023273,2018-04-11T00:03:43.273000Z,1020.8153603860004,-72,328,964,2995,33,1027.54,26.55,C2:9A:9F:E5:58:27
1523405028819,2018-04-11T00:03:48.819000Z,1010.9955489516262,-76,320,956,2989,33,1027.53,26.56,C2:9A:9F:E5:58:27
1523405034133,2018-04-11T00:03:54.132999Z,1022.3502335305647,-76,320,968,2989,33,1027.46,26.55,C2:9A:9F:E5:58:27
1523405039381,2018-04-11T00:03:59.381000Z,1013.2640327180276,-72,328,956,3001,33,1027.56,26.55,C2:9A:9F:E5:58:27
1523405044983,2018-04-11T00:04:04.983000Z,1019.5371498871436,-72,324,964,2989,33,1027.46,26.55,C2:9A:9F:E5:58:27
1523405050147,2018-04-11T00:04:10.147000Z,1018.8699622621132,-80,320,964,2989,33,1027.45,26.55,C2:9A:9F:E5:58:27
1523405055133,2018-04-11T00:04:15.132999Z,1010.9955489516262,-76,320,956,2983,33,1027.59,26.55,C2:9A:9F:E5:58:27
1523405060143,2018-04-11T00:04:20.142999Z,1022.0606635616107,-72,320,968,2989,33,1027.51,26.55,C2:9A:9F:E5:58:27
1523405065164,2018-04-11T00:04:25.164000Z,1014.7787936294294,-76,320,960,2989,33,1027.56,26.55,C2:9A:9F:E5:58:27
1523405070183,2018-04-11T00:04:30.183000Z,1022.3502335305647,-76,320,968,2995,33,1027.56,26.55,C2:9A:9F:E5:58:27
1523405075233,2018-04-11T00:04:35.233000Z,1015.7558761828552,-72,324,960,2989,33,1027.49,26.54,C2:9A:9F:E5:58:27
1523405080303,2018-04-11T00:04:40.302999Z,1016.3542689436592,-80,324,960,2989,33,1027.59,26.55,C2:9A:9F:E5:58:27
1523405085863,2018-04-11T00:04:45.862999Z,1007.9206317959763,-68,324,952,2989,33,1027.48,26.55,C2:9A:9F:E5:58:27
1523405091903,2018-04-11T00:04:51.903000Z,1019.5371498871436,-72,324,964,2983,33,1027.56,26.55,C2:9A:9F:E5:58:27
1523405097463,2018-04-11T00:04:57.463000Z,1012.2687390214122,-76,324,956,2995,33,1027.59,26.55,C2:9A:9F:E5:58:27
1523405103123,2018-04-11T00:05:03.122999Z,1018.8699622621132,-80,320,964,2989,33,1027.54,26.55,C2:9A:9F:E5:58:27
1523405108123,2018-04-11T00:05:08.122999Z,1014.4870625099169,-72,320,960,2995,33,1027.56,26.55,C2:9A:9F:E5:58:27
1523405114113,2018-04-11T00:05:14.112999Z,1014.7787936294294,-76,320,960,2989,33,1027.5,26.55,C2:9A:9F:E5:58:27
1523405119143,2018-04-11T00:05:19.142999Z,1027.392816794044,-76,324,972,2989,33,1027.53,26.55,C2:9A:9F:E5:58:27
1523405124193,2018-04-11T00:05:24.193000Z,1013.2640327180276,-72,328,956,2983,33,1027.5,26.55,C2:9A:9F:E5:58:27
1523405129194,2018-04-11T00:05:29.194000Z,1019.8274363832344,-76,324,964,2989,33,1027.56,26.55,C2:9A:9F:E5:58:27
1523405134263,2018-04-11T00:05:34.263000Z,1019.5371498871436,-72,324,964,3001,33,1027.51,26.55,C2:9A:9F:E5:58:27
1523405139823,2018-04-11T00:05:39.822999Z,1014.7787936294294,-76,320,960,2983,33,1027.57,26.56,C2:9A:9F:E5:58:27
1523405145393,2018-04-11T00:05:45.392999Z,1018.273047860936,-72,320,964,2995,33,1027.52,26.54,C2:9A:9F:E5:58:27
1523405150903,2018-04-11T00:05:50.903000Z,1015.0862032359616,-80,320,960,2995,33,1027.54,26.55,C2:9A:9F:E5:58:27
1523405156503,2018-04-11T00:05:56.503000Z,1012.9560701234777,-68,316,960,2989,33,1027.48,26.55,C2:9A:9F:E5:58:27
1523405162048,2018-04-11T00:06:02.048000Z,1019.8274363832344,-76,324,964,2989,33,1027.56,26.55,C2:9A:9F:E5:58:27
1523405167133,2018-04-11T00:06:07.132999Z,1014.4870625099169,-72,320,960,2995,33,1027.58,26.55,C2:9A:9F:E5:58:27
1523405172179,2018-04-11T00:06:12.178999Z,1017.3141107838817,-76,316,964,2989,33,1027.53,26.55,C2:9A:9F:E5:58:27
1523405177219,2018-04-11T00:06:17.219000Z,1019.8274363832344,-76,324,964,2989,33,1027.64,26.56,C2:9A:9F:E5:58:27
1523405182773,2018-04-11T00:06:22.773000Z,1014.4870625099169,-72,320,960,2995,33,1027.51,26.55,C2:9A:9F:E5:58:27
1523405188103,2018-04-11T00:06:28.102999Z,1016.7477563289726,-68,316,964,3001,33,1027.58,26.56,C2:9A:9F:E5:58:27
1523405193353,2018-04-11T00:06:33.352999Z,1020.1333246198753,-80,324,964,2983,33,1027.57,26.56,C2:9A:9F:E5:58:27
1523405198891,2018-04-11T00:06:38.891000Z,1010.9955489516262,-76,320,956,2989,33,1027.52,26.56,C2:9A:9F:E5:58:27
1523405204136,2018-04-11T00:06:44.135999Z,1016.0472429961119,-76,324,960,2989,33,1027.6,26.56,C2:9A:9F:E5:58:27
1523405209521,2018-04-11T00:06:49.520999Z,1019.0034347341524,-64,324,964,2995,33,1027.61,26.56,C2:9A:9F:E5:58:27
1523405215063,2018-04-11T00:06:55.062999Z,1018.563694621009,-76,320,964,2983,33,1027.55,26.56,C2:9A:9F:E5:58:27
1523405220133,2018-04-11T00:07:00.132999Z,1018.273047860936,-72,320,964,2983,33,1027.58,26.56,C2:9A:9F:E5:58:27
1523405225153,2018-04-11T00:07:05.153000Z,1014.7787936294294,-76,320,960,2989,33,1027.54,26.57,C2:9A:9F:E5:58:27
1523405230233,2018-04-11T00:07:10.233000Z,1014.4870625099169,-72,320,960,2995,33,1027.58,26.56,C2:9A:9F:E5:58:27
1523405235245,2018-04-11T00:07:15.244999Z,1018.8699622621132,-80,320,964,2995,33,1027.56,26.57,C2:9A:9F:E5:58:27
1523405240833,2018-04-11T00:07:20.832999Z,1017.6364773336302,-80,328,960,2989,33,1027.59,26.57,C2:9A:9F:E5:58:27
1523405246133,2018-04-11T00:07:26.132999Z,1014.1558065701739,-84,316,960,2989,33,1027.58,26.56,C2:9A:9F:E5:58:27
1523405251433,2018-04-11T00:07:31.433000Z,1017.6364773336302,-80,328,960,2989,33,1027.53,26.56,C2:9A:9F:E5:58:27
1523405257103,2018-04-11T00:07:37.102999Z,1018.9327750151135,-80,332,960,3001,33,1027.56,26.58,C2:9A:9F:E5:58:27
1523405262123,2018-04-11T00:07:42.122999Z,1018.8699622621132,-80,320,964,2989,33,1027.57,26.57,C2:9A:9F:E5:58:27
1523405267119,2018-04-11T00:07:47.118999Z,1010.4256528810024,-68,320,956,2983,33,1027.55,26.57,C2:9A:9F:E5:58:27
1523405272143,2018-04-11T00:07:52.142999Z,1022.6553671692141,-80,320,968,2989,33,1027.65,26.57,C2:9A:9F:E5:58:27
1523405277693,2018-04-11T00:07:57.693000Z,1021.7866704943846,-68,320,968,2989,33,1027.59,26.57,C2:9A:9F:E5:58:27
1523405283243,2018-04-11T00:08:03.243000Z,1010.0455435276174,-80,316,956,2995,33,1027.57,26.57,C2:9A:9F:E5:58:27
1523405288793,2018-04-11T00:08:08.792999Z,1022.3502335305647,-76,320,968,2989,33,1027.57,26.57,C2:9A:9F:E5:58:27
1523405294143,2018-04-11T00:08:14.142999Z,1021.1052835041056,-76,328,964,3001,33,1027.59,26.57,C2:9A:9F:E5:58:27
1523405299413,2018-04-11T00:08:19.413000Z,1015.7558761828552,-72,324,960,3001,33,1027.59,26.57,C2:9A:9F:E5:58:27
1523405304931,2018-04-11T00:08:24.930999Z,1020.8153603860004,-72,328,964,2995,33,1027.55,26.57,C2:9A:9F:E5:58:27
1523405310133,2018-04-11T00:08:30.132999Z,1011.9762843070978,-72,324,956,2995,33,1027.53,26.56,C2:9A:9F:E5:58:27
1523405315133,2018-04-11T00:08:35.132999Z,1018.563694621009,-76,320,964,2995,33,1027.55,26.56,C2:9A:9F:E5:58:27
1523405320123,2018-04-11T00:08:40.122999Z,1023.3200867763712,-72,324,968,2989,33,1027.54,26.57,C2:9A:9F:E5:58:27
1523405325149,2018-04-11T00:08:45.148999Z,1014.8576254825107,-76,308,964,2983,33,1027.57,26.56,C2:9A:9F:E5:58:27
1523405330193,2018-04-11T00:08:50.193000Z,1019.8274363832344,-76,324,964,2989,33,1027.64,26.56,C2:9A:9F:E5:58:27
1523405335212,2018-04-11T00:08:55.211999Z,1009.7365993168713,-76,316,956,2989,33,1027.58,26.56,C2:9A:9F:E5:58:27
1523405340303,2018-04-11T00:09:00.302999Z,1014.4870625099169,-72,320,960,2995,33,1027.62,26.55,C2:9A:9F:E5:58:27
1523405345840,2018-04-11T00:09:05.839999Z,1015.7558761828552,-72,324,960,2989,33,1027.57,26.56,C2:9A:9F:E5:58:27
1523405351383,2018-04-11T00:09:11.382999Z,1014.4870625099169,-72,320,960,2989,33,1027.6,26.56,C2:9A:9F:E5:58:27
1523405357103,2018-04-11T00:09:17.102999Z,1015.7558761828552,-72,324,960,2995,33,1027.57,26.56,C2:9A:9F:E5:58:27
1523405362103,2018-04-11T00:09:22.102999Z,1013.5245433634057,-76,316,960,2995,33,1027.62,26.55,C2:9A:9F:E5:58:27
1523405367123,2018-04-11T00:09:27.122999Z,1015.7558761828552,-72,324,960,2983,33,1027.62,26.55,C2:9A:9F:E5:58:27
1523405372123,2018-04-11T00:09:32.122999Z,1012.576910659136,-80,324,956,2995,33,1027.66,26.55,C2:9A:9F:E5:58:27
1523405377183,2018-04-11T00:09:37.183000Z,1019.5371498871436,-72,324,964,2995,33,1027.59,26.55,C2:9A:9F:E5:58:27
1523405383133,2018-04-11T00:09:43.132999Z,1015.7558761828552,-72,324,960,2995,33,1027.63,26.54,C2:9A:9F:E5:58:27
1523405388293,2018-04-11T00:09:48.292999Z,1012.2687390214122,-76,324,956,2989,33,1027.57,26.54,C2:9A:9F:E5:58:27
1523405394123,2018-04-11T00:09:54.122999Z,1016.0472429961119,-76,324,960,2989,33,1027.62,26.55,C2:9A:9F:E5:58:27
1523405399403,2018-04-11T00:09:59.403000Z,1018.563694621009,-76,320,964,2989,33,1027.6,26.54,C2:9A:9F:E5:58:27
1523405404963,2018-04-11T00:10:04.963000Z,1020.4548005668845,-84,324,964,2995,33,1027.6,26.54,C2:9A:9F:E5:58:27
1523405410503,2018-04-11T00:10:10.503000Z,1010.4256528810024,-68,320,956,2989,33,1027.58,26.53,C2:9A:9F:E5:58:27
1523405416063,2018-04-11T00:10:16.062999Z,1015.4801819828883,-68,324,960,3001,33,1027.56,26.53,C2:9A:9F:E5:58:27
1523405421123,2018-04-11T00:10:21.122999Z,1019.2624784617552,-68,324,964,2989,33,1027.59,26.54,C2:9A:9F:E5:58:27
1523405426152,2018-04-11T00:10:26.151999Z,1014.7787936294294,-76,320,960,2989,33,1027.59,26.54,C2:9A:9F:E5:58:27
1523405431203,2018-04-11T00:10:31.203000Z,1013.2640327180276,-72,328,956,2989,33,1027.61,26.53,C2:9A:9F:E5:58:27
1523405436253,2018-04-11T00:10:36.253000Z,1020.1333246198753,-80,324,964,2989,33,1027.6,26.54,C2:9A:9F:E5:58:27
1523405441833,2018-04-11T00:10:41.832999Z,1024.5935779615252,-72,328,968,2989,33,1027.6,26.53,C2:9A:9F:E5:58:27
1523405447130,2018-04-11T00:10:47.130000Z,1014.4870625099169,-72,320,960,2989,33,1027.58,26.53,C2:9A:9F:E5:58:27
1523405452393,2018-04-11T00:10:52.392999Z,1019.8274363832344,-76,324,964,2983,33,1027.64,26.53,C2:9A:9F:E5:58:27
1523405457984,2018-04-11T00:10:57.983999Z,1016.3542689436592,-80,324,960,3001,33,1027.63,26.53,C2:9A:9F:E5:58:27
1523405463113,2018-04-11T00:11:03.112999Z,1023.0464310088765,-68,324,968,2983,33,1027.64,26.53,C2:9A:9F:E5:58:27
1523405468103,2018-04-11T00:11:08.102999Z,1015.4801819828883,-68,324,960,2995,33,1027.62,26.54,C2:9A:9F:E5:58:27
1523405473134,2018-04-11T00:11:13.134000Z,1017.0388389830548,-72,328,960,2995,33,1027.63,26.53,C2:9A:9F:E5:58:27
1523405478193,2018-04-11T00:11:18.193000Z,1019.5371498871436,-72,324,964,2995,33,1027.64,26.52,C2:9A:9F:E5:58:27
1523405483228,2018-04-11T00:11:23.227999Z,1016.0472429961119,-76,324,960,2989,33,1027.57,26.52,C2:9A:9F:E5:58:27
1523405488779,2018-04-11T00:11:28.779000Z,1015.7558761828552,-72,324,960,2989,33,1027.62,26.52,C2:9A:9F:E5:58:27
1523405494119,2018-04-11T00:11:34.118999Z,1021.1052835041056,-76,328,964,2989,33,1027.65,26.52,C2:9A:9F:E5:58:27
