time,readable_time,acceleration,acceleration_x,acceleration_y,acceleration_z,battery,humidity,pressure,temperature,dev-id
1526256004136,2018-05-14T00:00:04.135999Z,1015.101965321711,-60,336,956,2953,30.5,1021.42,25.59,C2:9A:9F:E5:58:27
1526256009846,2018-05-14T00:00:09.845999Z,1022.6397215050861,-60,336,964,2953,30.5,1021.39,25.59,C2:9A:9F:E5:58:27
1526256021166,2018-05-14T00:00:21.165999Z,1011.1063247749961,-56,336,952,2953,30.5,1021.4,25.58,C2:9A:9F:E5:58:27
1526256026336,2018-05-14T00:00:26.335999Z,1023.1871774020626,-48,328,968,2941,30.5,1021.4,25.58,C2:9A:9F:E5:58:27
1526256031430,2018-05-14T00:00:31.430000Z,1022.8822024065137,-64,336,964,2947,30.5,1021.35,25.57,C2:9A:9F:E5:58:27
1526256036456,2018-05-14T00:00:36.456000Z,1026.4112236331011,-60,336,968,2941,30.5,1021.38,25.57,C2:9A:9F:E5:58:27
1526256041556,2018-05-14T00:00:41.555999Z,1017.5578607627185,-60,332,960,2947,30.5,1021.32,25.58,C2:9A:9F:E5:58:27
1526256046532,2018-05-14T00:00:46.532000Z,1020.1960595885479,-60,340,960,2953,30.5,1021.41,25.57,C2:9A:9F:E5:58:27
1526256051486,2018-05-14T00:00:51.486000Z,1017.5578607627185,-60,332,960,2959,30.5,1021.31,25.58,C2:9A:9F:E5:58:27
1526256056556,2018-05-14T00:00:56.555999Z,1017.1174956709771,-52,332,960,2947,30.5,1021.41,25.57,C2:9A:9F:E5:58:27
1526256061436,2018-05-14T00:01:01.436000Z,1021.1052835041056,-56,332,964,2935,30.5,1021.35,25.57,C2:9A:9F:E5:58:27
1526256066476,2018-05-14T00:01:06.476000Z,1026.4112236331011,-60,336,968,2947,30.5,1021.37,25.58,C2:9A:9F:E5:58:27
1526256071396,2018-05-14T00:01:11.395999Z,1021.3324630109433,-60,332,964,2947,30.5,1021.36,25.57,C2:9A:9F:E5:58:27
1526256076576,2018-05-14T00:01:16.575999Z,1022.6397215050861,-60,336,964,2953,30.5,1021.4,25.58,C2:9A:9F:E5:58:27
1526256081682,2018-05-14T00:01:21.681999Z,1015.346246361309,-64,336,956,2959,30.5,1021.35,25.58,C2:9A:9F:E5:58:27
1526256086766,2018-05-14T00:01:26.766000Z,1018.8699622621132,-60,336,960,2953,30.5,1021.38,25.58,C2:9A:9F:E5:58:27
1526256091834,2018-05-14T00:01:31.834000Z,1022.2015456846071,-52,336,964,2947,30.5,1021.4,25.58,C2:9A:9F:E5:58:27
1526256097036,2018-05-14T00:01:37.036000Z,1017.5578607627185,-60,332,960,2947,30.5,1021.38,25.58,C2:9A:9F:E5:58:27
1526256102155,2018-05-14T00:01:42.154999Z,1018.5322773481457,-56,324,964,2953,30.5,1021.4,25.58,C2:9A:9F:E5:58:27
1526256107246,2018-05-14T00:01:47.246000Z,1017.3298383513579,-56,332,960,2953,30.5,1021.42,25.58,C2:9A:9F:E5:58:27
1526256112186,2018-05-14T00:01:52.186000Z,1014.7472591734357,-56,324,960,2953,30.5,1021.4,25.58,C2:9A:9F:E5:58:27
1526256117426,2018-05-14T00:01:57.426000Z,1017.8015523666684,-64,332,960,2953,30.5,1021.42,25.58,C2:9A:9F:E5:58:27
1526256122385,2018-05-14T00:02:02.384999Z,1015.8188814941373,-52,328,960,2947,30.5,1021.35,25.57,C2:9A:9F:E5:58:27
